date,company,open_price,high_price,low_price,close_price,volume
2016-04-14 18:13:37.227681,AAPL,414.5910474299819,415.88472606117455,410.17403231072893,411.4577353520261,8204212
2016-04-15 18:13:37.227681,AAPL,405.8727786351316,408.4340427330357,403.40310574456817,406.9413451740209,6664789
2016-04-18 18:13:37.227681,AAPL,406.29457437354034,410.4216786683908,405.91537425807564,407.16548692338876,5721339
2016-04-19 18:13:37.227681,AAPL,418.8023757047847,420.9500555225898,414.49512361524796,419.27568827369663,9242680
2016-04-20 18:13:37.227681,AAPL,410.45305767260464,410.98707017755027,401.90861691501067,409.68347133096455,4385659
2016-04-21 18:13:37.227681,AAPL,408.7153840222306,410.67093901825365,406.7451677041114,408.78322854845914,5056518
2016-04-22 18:13:37.227681,AAPL,406.8009539886506,409.9826305532141,404.5585882111406,406.0384855129661,7249859
2016-04-25 18:13:37.227681,AAPL,431.3139350162342,432.9085410685942,420.4407538659784,,8281369
2016-04-26 18:13:37.227681,AAPL,434.58704886179027,441.28699653585164,431.7488410808225,434.9603075165342,1564685
2016-04-27 18:13:37.227681,AAPL,433.42096844355245,437.4487734012477,431.06880124079925,,3630708
2016-04-28 18:13:37.227681,AAPL,436.0960789800554,438.5033222016901,432.60547536908956,435.1841460204559,6173036
2016-04-29 18:13:37.227681,AAPL,442.2779580292712,448.72643406266855,433.53130679987,440.32347559336716,3231785
2016-05-02 18:13:37.227681,AAPL,429.5770589791885,430.12312316297727,424.5708512928927,427.22805876523046,5142807
2016-05-03 18:13:37.227681,AAPL,415.3971722487798,420.05995088958684,410.90514669117454,414.0763660665197,6401218
2016-05-04 18:13:37.227681,AAPL,427.50742886022374,431.72945457590856,422.32387541814734,426.7857741230943,8558158
2016-05-05 18:13:37.227681,AAPL,414.50284568710765,422.52201107158663,410.5619994818296,415.0856389818502,4331068
2016-05-06 18:13:37.227681,AAPL,414.23180358705935,417.631676754467,407.2451755113275,,7216204
2016-05-09 18:13:37.227681,AAPL,405.8565773309994,414.4428034526243,399.2969579045706,406.87734520014516,3539448
2016-05-10 18:13:37.227681,AAPL,394.4415151650741,398.18290731019425,387.473467092207,394.8933669961558,1542335
2016-05-11 18:13:37.227681,AAPL,394.0990453363802,394.96647250425593,390.9865496482037,392.7771039086471,6697469
2016-05-12 18:13:37.227681,AAPL,380.2688443236022,383.4750591264337,376.2068929981749,382.21637585739364,2954109
2016-05-13 18:13:37.227681,AAPL,378.1880111633733,386.8718465187788,375.7433816821113,379.7111794038987,7409907
2016-05-16 18:13:37.227681,AAPL,376.5551175769172,382.0176040538338,374.4099546598977,379.73253836730606,8433296
2016-05-17 18:13:37.227681,AAPL,380.026990446702,380.2781938578271,376.7545450774769,379.37275769679206,7609280
2016-05-18 18:13:37.227681,AAPL,,386.7048629122989,375.1879718896575,379.2291159062007,2119043
2016-05-19 18:13:37.227681,AAPL,368.0349368967528,375.20023829168434,364.5731956103358,369.26875001319814,4080389
2016-05-20 18:13:37.227681,AAPL,374.23687586081394,375.3649571166347,369.4292383440677,373.22266437380125,3148815
2016-05-23 18:13:37.227681,AAPL,387.6986383994683,387.82725997325497,382.0590689767114,386.01255598342084,5336787
2016-05-24 18:13:37.227681,AAPL,388.63039678361207,393.4356993363596,381.34956183957473,390.4159464116246,4445376
2016-05-25 18:13:37.227681,AAPL,385.45301848979017,389.6270736071305,378.80656192444536,384.15230554789883,9536326
2016-05-26 18:13:37.227681,AAPL,388.69036052450787,392.8077620095721,384.2985819075252,386.16648689803054,3472189
2016-05-27 18:13:37.227681,AAPL,390.0428763553224,392.687599452738,385.8105645987843,388.52409125143805,4674515
2016-05-30 18:13:37.227681,AAPL,396.06813614151906,396.7346393237311,392.39992402938407,393.6724996271671,1501157
2016-05-31 18:13:37.227681,AAPL,381.6013652681312,388.77648937165355,371.9967014409483,,3799487
2016-06-01 18:13:37.227681,AAPL,356.24193966285293,364.7922537235083,354.98850059786383,357.6783359161868,8328141
2016-06-02 18:13:37.227681,AAPL,365.63113815115304,371.84118859362485,358.5483681782983,363.32693774593287,9170528
2016-06-03 18:13:37.227681,AAPL,380.33932461559243,382.24453419420126,375.5763020415975,380.06002866626255,7105525
2016-06-06 18:13:37.227681,AAPL,364.1398380285311,370.40733190956894,359.2682000537489,365.6891854497321,4806688
2016-06-07 18:13:37.227681,AAPL,360.4995254192376,360.6748433064106,354.11550335304935,358.7467247951028,6709840
2016-06-08 18:13:37.227681,AAPL,345.88800420909973,352.4282411421582,340.7154651208387,346.3090024713496,9519981
2016-06-09 18:13:37.227681,AAPL,338.1987255326778,346.5808776873699,336.0550731679355,,7545535
2016-06-10 18:13:37.227681,AAPL,347.816110360917,354.88076172055713,347.32627306614194,348.4003970306907,9106609
2016-06-13 18:13:37.227681,AAPL,356.08763572020723,361.36320663444366,351.03351505959364,355.9962143625014,9073461
2016-06-14 18:13:37.227681,AAPL,361.49654090964435,368.46619644379194,355.2276680319401,362.59139354959365,6491590
2016-06-15 18:13:37.227681,AAPL,369.01468630736395,374.1954080475521,361.0912883616505,366.9313133486387,9837590
2016-06-16 18:13:37.227681,AAPL,359.080648055825,363.90687965927003,353.1914533617595,355.524781469612,6893309
2016-06-17 18:13:37.227681,AAPL,352.8459248528086,353.1094879768244,346.90179435417417,352.7044926217305,4503157
2016-06-20 18:13:37.227681,AAPL,358.80826404718476,361.680895153487,351.88145737456716,359.72726733206264,2004646
2016-06-21 18:13:37.227681,AAPL,358.94547287485466,364.01259713657197,354.3694213264978,360.11874035683405,4379569
2016-06-22 18:13:37.227681,AAPL,366.7141589505171,369.86294265761666,363.4946182435695,367.8703197203693,2423286
2016-06-23 18:13:37.227681,AAPL,379.80504335993504,381.53939158980864,372.8529875698394,381.0958448409162,5062958
2016-06-24 18:13:37.227681,AAPL,395.47511247241994,400.6969451086488,392.4662663845548,394.6759298057807,8474447
2016-06-27 18:13:37.227681,AAPL,392.42037263588674,398.15001864876746,388.31105390966434,388.68198189125167,3164367
2016-06-28 18:13:37.227681,AAPL,384.56404429158084,386.8470223628715,383.83985644744337,386.138080062377,3288627
2016-06-29 18:13:37.227681,AAPL,384.09073436319983,387.66027248422625,377.031658788651,381.9958761324293,6084921
